"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cluster"
"1","Yang_BioRxiv_2021_SMC","9.05227333592069e-16","4.07352300116431e-14","1.01754479730988","0.852619327283363","3.51995792763033","26","c(""ACTA2"", ""TPM2"", ""MYH11"", ""RBPMS"", ""TAGLN"", ""ZFHX3"", ""DMD"", ""TIMP3"", ""EBF1"", ""PHLDB2"", ""RCAN2"", ""ADAMTS1"", ""FRY"", ""SORBS2"", ""PDE3A"", ""PRKG1"", ""LMOD1"", ""C11orf96"")","5"
"2","Hu_2022_Peri","1.81136878118702e-06","1.41334061242045e-05","0.643551836150722","0.724586315706113","2.68858327850585","18","c(""ACTA2"", ""TPM2"", ""TAGLN"", ""HIGD1B"", ""SDC2"", ""ASPN"", ""ZIC1"", ""RGS4"")","5"
"3","Yang_BioRxiv_2021_Pericyte","3.2024220699118e-05","0.000180136241432539","0.557332238758646","0.647680598661644","2.50775094021147","21","c(""ZFHX3"", ""PTEN"", ""GJC1"", ""NR2F2"", ""EBF1"", ""ZIC1"", ""PDE5A"", ""PDE3A"", ""PRKG1"", ""DGKB"", ""SLC12A2"")","5"
"4","Myoepithelial.cells","2.44106807464646e-07","3.6616021119697e-06","0.674962860011025","0.920007691164628","2.41004707202198","7","c(""ACTA2"", ""MYH11"", ""MYLK"", ""ACTG2"", ""CNN1"")","5"
"5","Fibroblasts","0.0100921456779289","0.0283841597191751","0.303779434551183","0.500781004572249","1.90518492899644","20","c(""CEBPB"", ""NR4A2"", ""KLF4"", ""EGR1"", ""FOSB"", ""NR4A1"", ""HIF1A"")","5"
"6","Endothelial.cells","0.0112249877989263","0.0297132029971579","0.303779434551183","0.397176292705709","1.77530309560591","34","c(""RND1"", ""MYLK"", ""ID3"", ""TIMP3"", ""ADAMTS1"", ""EPAS1"", ""IGFBP7"", ""SPARCL1"")","5"
"7","Microglia","0.0619358854652972","0.126687038451744","0.101377203467264","0.661788863184344","1.53044841698247","5","c(""EGR1"", ""FOS"")","5"
"8","Neftel_Cell_2019_NPC2","0.256762380357886","0.385143570536829","0.0562847952048854","0.323735207130227","1.18022851721806","17","c(""ATP1B1"", ""LBH"", ""NFIX"")","5"
"9","Neurons","0.445885286783042","0.573281083006769","0.0460578909158033","0.226980776411225","1.01611134049492","35","c(""RGS7BP"", ""ZIC1"", ""TESC"", ""DGKB"", ""PNISR"")","5"
"10","Pyramidal.cells","0.594460006224712","0.671797390466306","0.0296964779948796","0.384238790705543","0.888588010002143","5","NR4A2","5"
"11","Yang_BioRxiv_2021_Perivascular_fibroblast","0.567255956956188","0.671797390466306","0.0346769792883295","0.268107853117238","0.888145934748205","13","c(""NTRK3"", ""NKD1"", ""LAMC1"")","5"
"12","Interneurons","0.89866082925573","0.89866082925573","0.00949357683473891","-0.190724697763526","-0.647069014006968","24","c(""IDS"", ""ETV1"", ""TCEAL3"", ""DCAF7"", ""AAK1"", ""ARHGAP21"", ""TRIM9"", ""PDP1"", ""NRN1"", ""SRGAP1"", ""SLC16A1"", ""RGS17"", ""SURF1"", ""PSD3"", ""ATG12"", ""NAT14"", ""CHN1"", ""PITX1"", ""OXR1"")","5"
"13","Immature.neurons","0.865592930444698","0.885265497045714","0.0116028762071118","-0.287715162541412","-0.687004996918194","7","NES","5"
"14","Mast.cells","0.750547327752737","0.785456505787748","0.0122080621650141","-0.235990623492805","-0.792031425635915","23","c(""LIMA1"", ""IDS"", ""GPM6A"", ""MFGE8"", ""MEIS2"", ""SMARCA1"", ""WDR60"", ""LSAMP"", ""ARMCX3"", ""OAF"", ""OSBPL8"", ""PCBD1"")","5"
"15","Cajal.Retzius.cells","0.719498289623717","0.77089102459684","0.014290903307766","-0.340831435079727","-0.813835798357927","7","c(""CCM2"", ""SLC25A36"", ""ST3GAL5"", ""AATF"", ""NSMCE3"", ""LNPK"", ""TCEAL1"")","5"
"16","Yang_BioRxiv_2021_BEC_capillary","0.612082066869301","0.671797390466306","0.0149189755317702","-0.255123060070161","-0.90100045993077","28","c(""TMSB10"", ""BSG"", ""WWTR1"", ""PPFIBP1"", ""KLF2"", ""ITGA6"", ""BACE2"", ""HLA-E"", ""MYO10"")","5"
"17","Yang_BioRxiv_2021_Oligo","0.56996373640115","0.671797390466306","0.0157659269116235","-0.250717858919386","-0.934488207383785","35","c(""GPM6B"", ""RTN4"", ""CREB5"", ""CNP"", ""PLA2G16"", ""PLP1"", ""SCD"", ""SCD5"", ""ARHGAP21"", ""SYNJ2"", ""LAMP2"", ""FMNL2"", ""ANKS1B"", ""COLGALT2"", ""NCAM1"", ""MAP4K4"", ""PCDH9"", ""QDPR"")","5"
"18","Richards_NatureCancer_2021_sc.Developmental","0.603065056328022","0.671797390466306","0.0119240875420497","-0.180158241370504","-0.959941378888044","478","c(""NDUFA4"", ""GPM6B"", ""PTN"", ""DBI"", ""TUBB2B"", ""MARCKSL1"", ""MARCKS"", ""SOX2"", ""NDUFC2"", ""CBX3"", ""SRI"", ""PTPRZ1"", ""MDH2"", ""GAP43"", ""HSBP1"", ""BCAN"", ""NOVA1"", ""H1FX"", ""LMO4"", ""H2AFV"", ""UQCRFS1"", ""PRDX2"", ""C4orf48"", ""PON2"", ""HIGD2A"", ""FAM3C"", ""LSM7"", ""GTF2I"", ""MIDN"", ""SOX4"", ""TMBIM6"", ""SARAF"", ""AES"", ""TOMM20"", ""PMP2"", ""GABPB1-AS1"", ""AP1S1"", ""NDUFS7"", ""NME4"", ""LAPTM4B"", ""ARC"", ""CREB5"", ""ITM2C"", ""LSM8"", ""NUDT1"", ""GGCT"", ""KIF21A"", ""ZNF428"", ""SAT2"", ""CIRBP"", ""MRPS26"", ""RPAIN"", ""RBM8A"", ""TYMS"", ""ATP6V0E2"", ""ETV1"", 
""TXN2"", ""PSMG3"", ""SOX9"", ""TTYH1"", ""GPM6A"", ""ABI2"", ""ILF3"", ""OLIG1"", ""COX6B1"", ""ZYX"", ""SLC1A3"", ""PLP1"", ""RAC1"", ""ALKBH7"", ""HES6"", ""RBMX"", ""ECI1"", ""FEZ1"", ""BAALC"", ""DCAF7"", ""NREP"", ""NPDC1"", ""COX20"", ""GNG7"", ""SCRG1"", ""GAS1"", ""UBE2G2"", ""TUBA1A"", ""SUGP2"", ""NT5C3B"", ""NDUFA10"", ""SCARB2"", ""MAGEF1"", ""KCNQ2"", ""CAMLG"", ""LINC00461"", ""UBALD2"", ""MAZ"", ""PARP1"", ""TRIB2"", ""TCEA2"", ""SNRNP25"", ""CELF2"", ""CDKN1A"", ""TRIM28"", ""MYO10"", ""ZMAT3"", ""APH1A"", ""KNOP1"", ""BCHE"", ""PAFAH1B3"", ""ID4"", ""SCD5"", ""PLEKHJ1"", ""GPSM2"", ""ACAP3"", 
""EIF2AK1"", ""STMN3"", ""FYN"", ""WSB1"", ""FAM173A"", ""TGIF1"")","5"
"19","Yang_BioRxiv_2021_Neuron","0.497576966932725","0.621971208665906","0.0197020017265474","-0.411446469248292","-0.982450065686888","7","c(""SNRPN"", ""ANKS1B"", ""PTPRN2"", ""ROBO1"", ""DNM1"", ""OXR1"", ""PLCB1"")","5"
"20","Muller_GenBiology_2017_MG","0.424153166421208","0.561379190851598","0.0226869247386088","-0.486615875456026","-1.04799326391458","5","c(""KLF2"", ""SLC1A3"")","5"
"21","Muller_GenBiology_2017_BDM","0.384004458687474","0.523642443664737","0.0233928246745307","-0.415404164898009","-1.06995488105646","9","c(""TGFBI"", ""S100A11"", ""CIB1"", ""FXYD5"", ""TMEM123"", ""VOPP1"", ""PLTP"")","5"
"22","Yang_BioRxiv_2021_Astrocyte","0.339997485225701","0.478121463598642","0.0237013271393427","-0.298346889536608","-1.10342175901543","34","c(""CLU"", ""CD44"", ""PTPRZ1"", ""SERPINE2"", ""VCAN"", ""CADM1"", ""GPM6A"", ""SLC1A3"", ""TNC"", ""NRCAM"", ""NTM"", ""LINC00461"", ""ASPH"")","5"
"23","Yang_BioRxiv_2021_T_cell","0.335235567352356","0.478121463598642","0.0248196464168114","-0.365890754691514","-1.11240029765946","16","c(""HLA-B"", ""STK17A"", ""IFI16"", ""RNF213"", ""CELF2"", ""FYN"", ""LITAF"", ""GNG2"", ""ZC3HAV1"", ""MDFIC"", ""ZFP36L2"", ""ATM"")","5"
"24","Richards_NatureCancer_2021_sc.Injury_Response","0.00381105205094775","0.0114331561528432","0.235141995561108","-0.240289005279631","-1.31039307174991","831","c(""S100A10"", ""B2M"", ""TMSB10"", ""ANXA2"", ""SRP14"", ""NEAT1"", ""MDK"", ""TIMP1"", ""S100A4"", ""S100A6"", ""TXN"", ""IER2"", ""ANXA1"", ""MRPS6"", ""PKM"", ""PPDPF"", ""DCBLD2"", ""CD44"", ""HMGA1"", ""SH3BGRL3"", ""COL6A1"", ""RCAN1"", ""RTN4"", ""HMGN1"", ""SERPINE1"", ""PPIB"", ""PHLDA1"", ""LDHA"", ""CAST"", ""CD59"", ""POMP"", ""TKT"", ""HLA-B"", ""CSTB"", ""RAB13"", ""HLA-C"", ""FDPS"", ""IFITM3"", ""STK17A"", ""DDT"", ""TMSB4X"", ""ANXA5"", ""CEBPD"", ""MYL12B"", ""S100A13"", ""TNFRSF12A"", ""CLIC1"", ""XRCC6"", ""EMP1"", ""ATP6V0E1"", ""PRDX6"", ""ARL4C"", ""CCND1"", ""CTSB"", ""SQSTM1"", 
""PRDX1"", ""AP1S2"", ""COTL1"", ""MYDGF"", ""LSM3"", ""TCEAL4"", ""TUBB"", ""SMS"", ""CD151"", ""TGFBI"", ""POLR2L"", ""P4HB"", ""ATP1B3"", ""RPN2"", ""PSMA1"", ""LGALS3BP"", ""MRPL33"", ""GSTO1"", ""ARL6IP5"", ""TMED9"", ""NDUFB3"", ""SLIRP"", ""SLC5A3"", ""VAMP5"", ""WWTR1"", ""CTSD"", ""NQO1"", ""TM4SF1"", ""IFI16"", ""MMP2"", ""SVIP"", ""AKAP9"", ""C4orf3"", ""MYL12A"", ""PTTG1IP"", ""GOLGA4"", ""IFI27L2"", ""TMEM14B"", ""TMEM14C"", ""COL6A2"", ""PDLIM4"", ""ARHGDIA"", ""BST2"", ""TMEM230"", ""VCAN"", ""SSFA2"", ""RCN1"", ""ARPC1B"", ""GRN"", ""MRPL20"", ""GLRX5"", ""RNF7"", ""SLC20A1"", ""GLO1"", 
""MYADM"", ""PPFIBP1"", ""S100A11"", ""RNF181"", ""VKORC1"", ""MRPL36"", ""TGOLN2"", ""TPM4"", ""SPATS2L"", ""SRPX"", ""PLA2G16"", ""RAB34"", ""FKBP1A"", ""ITGA3"", ""SSR3"", ""UPP1"", ""RBP1"", ""VMP1"", ""NPC2"", ""ORAI2"", ""FDFT1"", ""AKR1B1"", ""PRNP"", ""MANF"", ""SQLE"", ""OSTC"", ""STRAP"", ""CAV1"", ""MRPL3"", ""GSN"", ""ENC1"", ""ECHS1"", ""GTF2A2"", ""PGM2L1"", ""PHLDA2"", ""SYPL1"", ""DDX21"", ""SSBP1"", ""MTCH1"", ""KLF2"", ""LAMB1"", ""TRAPPC1"", ""NT5E"", ""CAPN2"", ""MAP4"", ""GOLGB1"", ""PLIN3"", ""TNC"", ""KPNB1"", ""ARPC4"", ""LY6E"", ""TCEAL3"", ""MRPL51"", ""NRCAM"", ""PDIA4"", ""TFG"", 
""RASSF8"", ""SERPINH1"", ""CDV3"", ""PSMA4"", ""CYB5R3"", ""SYAP1"", ""MGLL"", ""MXRA7"", ""RNF213"", ""ISG15"", ""ADI1"", ""FADS1"", ""NTM"", ""DAP"", ""LDLR"", ""SCD"", ""MRPL32"", ""EIF4EBP1"", ""COL4A2"", ""MCFD2"", ""MSMO1"", ""SEMA3A"", ""COL5A2"", ""TWISTNB"", ""EIF5A"", ""ITGA2"", ""TCEAL8"", ""FAM20C"", ""GTF2F2"", ""TIMMDC1"", ""ASPH"", ""HEBP2"", ""GYPC"", ""CMTM6"", ""LEPROT"", ""EMD"", ""PLP2"", ""BZW1"", ""TMED3"", ""MRPL13"", ""ATP6AP2"", ""CIB1"", ""PIGT"", ""HTRA1"", ""GANAB"", ""DDOST"", ""COL18A1"", ""EIF2AK2"", ""BACE2"", ""CALU"", ""HLA-E"", ""C12orf75"", ""PPIC"", ""TWF2"", ""SDF2L1"", 
""PRR13"", ""AHNAK2"", ""FAM210B"", ""NUCB2"", ""PRDX3"", ""SEC61B"", ""SLC25A37"", ""UBXN4"", ""SEC61A1"", ""EBP"", ""BCAP31"", ""AAK1"", ""ADRM1"", ""TAPBP"", ""GARS"", ""CTSL"", ""DEGS1"", ""KLF10"", ""PXDN"", ""EPS8"", ""MMADHC"", ""ARPC5"", ""SYNJ2"", ""TTC1"", ""RGS3"", ""SWI5"", ""MAFF"", ""PLK2"", ""TARS"", ""LAMP2"", ""MED10"", ""DYNC1H1"", ""PSMB8"", ""PDLIM2"", ""IFI6"", ""MEIS2"", ""MIR4435-2HG"", ""HEXA"", ""ITPRIPL2"", ""LRRFIP1"", ""SLC2A4RG"", ""STIP1"", ""CEBPZOS"", ""SLC4A7"", ""IFNGR2"", ""SSR1"", ""PYGB"", ""DRAP1"", ""TMEM179B"", ""SERPINB6"", ""MZT1"", ""RNF114"", ""ARPC3"", ""FBN1"", 
""TNFRSF1A"", ""CTSA"", ""EIF6"", ""ECHDC1"", ""TAF9"", ""LAMP1"", ""POLE4"", ""PDP1"", ""LOXL1"", ""NLRP1"", ""ITGAV"", ""SOD2"", ""PTS"", ""CFLAR"", ""AKAP12"", ""FOSL1"", ""TIMM17A"", ""MRPS10"")","5"
"25","Chanoch_Myers_IMMUNE","0.133203288282012","0.206694757678984","0.0443866736274428","-0.518881985417297","-1.33648229821146","9","c(""CD81"", ""CTSC"", ""LGALS3BP"", ""BST2"", ""GRN"")","5"
"26","Astrocytes","0.12255247217918","0.196959330287968","0.0467506909493571","-0.541660874102986","-1.34814656231358","8","c(""FABP7"", ""S100B"", ""SOX9"", ""SLC1A3"", ""HTRA1"")","5"
"27","Neftel_Cell_2019_NPC1","0.118606759031464","0.196959330287968","0.0454461345170903","-0.416860907188584","-1.35032454815526","20","c(""MARCKSL1"", ""BCAN"", ""STMN1"", ""SOX4"", ""BEX1"", ""ETV1"", ""OLIG1"", ""HES6"", ""TUBA1A"", ""DBN1"", ""MLLT11"", ""SOX11"", ""MAP2"", ""PFN2"", ""CHD7"")","5"
"28","Neftel_Cell_2019_G1.S","0.10610042882833","0.183635357587495","0.050072872271063","-0.517993079958969","-1.37501297757125","10","c(""HIST1H4C"", ""DUT"", ""CKS1B"", ""TMEM106C"", ""PCNA"", ""MCM7"", ""MCM3"")","5"
"29","Neftel_Cell_2019_MES2","0.0833333333333333","0.15625","0.0543824704977098","-0.397222179933008","-1.40284209007182","28","c(""FTL"", ""ANXA2"", ""LGALS3"", ""LDHA"", ""IGFBP3"", ""SQSTM1"", ""PGK1"")","5"
"30","Oligodendrocyte.progenitor.cells","0.089730948020848","0.161515706437526","0.0553343907639583","-0.566256279340321","-1.40936237575836","8","c(""VCAN"", ""CNP"", ""OLIG1"", ""FYN"", ""ETV5"", ""SOX10"", ""C1QL1"")","5"
"31","Yang_BioRxiv_2021_OPC","0.0719309887193099","0.140734543146476","0.060295791275842","-0.471577452578326","-1.43371454974286","16","c(""PTPRZ1"", ""NOVA1"", ""VCAN"", ""NRCAM"", ""RAB31"", ""SCD5"", ""TRIM9"", ""ANKS1B"", ""MAP2"", ""LSAMP"")","5"
"32","Tanycytes","0.0518409425625921","0.111087734062697","0.0755861140764237","-0.681407448023162","-1.46750332557539","5","c(""PTN"", ""IGFBP5"", ""PRDX6"", ""VCAN"")","5"
"33","Macrophages","0.0463445555712072","0.104275250035216","0.0782805675040982","-0.608176082806503","-1.51369710185314","8","c(""S100A4"", ""LGALS3"", ""NRP2"")","5"
