"","Stem_core","Neftel_Cell_2019_MES2","Neftel_Cell_2019_MES1","Neftel_Cell_2019_AC","Neftel_Cell_2019_OPC","Neftel_Cell_2019_NPC1","Neftel_Cell_2019_NPC2","Neftel_Cell_2019_G1.S","Neftel_Cell_2019_G2.M","Yang_BioRxiv_2021_Astrocyte","Yang_BioRxiv_2021_Neuron","Yang_BioRxiv_2021_Oligo","Yang_BioRxiv_2021_OPC","Yang_BioRxiv_2021_BEC_capillary","Yang_BioRxiv_2021_Perivascular_fibroblast","Yang_BioRxiv_2021_Pericyte","Yang_BioRxiv_2021_SMC","Astrocytes","Bergmann.glia","Cajal.Retzius.cells","Choroid.plexus.cells","Endothelial.cells","Endothelial.cells..blood.brain.barrier.","Fibroblasts","Immature.neurons","Interneurons","Macrophages","Mast.cells","Meningeal.cells","Microglia","Monocytes","Motor.neurons","Myoepithelial.cells","Neural.stem.precursor.cells","Neurons","Oligodendrocyte.progenitor.cells","Pericytes","Photoreceptor.cells","Purkinje.fiber.cells","Purkinje.neurons","Pyramidal.cells","Radial.glia.cells","Tanycytes","Vascular.smooth.muscle.cells","Chanoch_Myers_MES_CORE_GENES","Chanoch_Myers_MES_OTHER","Chanoch_Myers_GLYCOLYSIS","Chanoch_Myers_APOPTOSIS","Chanoch_Myers_ASTROCYTE","Chanoch_Myers_INTERFERON","Chanoch_Myers_MHCI","Chanoch_Myers_MHCII","Chanoch_Myers_IMMUNE","Hu_2022_RG","Hu_2022_Peri","GSC_Catalog.Liau2018_GSC8","GSC_Catalog.Beier2007_CD133","Richards_NatureCancer_2021_sc.Developmental","Richards_NatureCancer_2021_sc.Injury_Response"
"1","NANOG","HILPDA","CHI3L1","CST3","BCAN","DLL3","STMN2","RRM2","CCNB1","SLC1A2","RBFOX1","MBP","DSCAM","FLT1","CEMIP","GRM8","SLIT3","S100B","GFAP","RELN","TTR","PECAM1","ABCG2","COL1A1","PAX6","CALB1","ITGAL","KIT","FOXC1","ITGAM","RGS1","ISL1","SFN","SOX1","ENO2","CSPG4","MFGE8","RCVRN","GJA5","CALB1","CD3E","PAX6","GPR50","ACTA2","LGALS3","GLIPR1","CHPF","SOD2","CLU","IFITM3","HLA-A","HLA-DRA","C1R","FABP5","","OLIG2","GIMAP1","CBLN1","METTL13"
"2","POU5F1","ADM","ANXA2","S100B","PLP1","DLL1","CD24","PCNA","CDC20","DPP10","ROBO2","ST18","LHFPL3","ATP10A","BICC1","PDE7B","TAGLN","SLC1A2","GDF10","DIABLO","KL","ICAM1","GFAP","MGP","PCLO","CCK","ITGAM","ENPP3","FOXC2","ITGAX","APOBEC3A","MNX1","ACTA2","PROM1","RBFOX3","PDGFRA","ALPL","PDC","B3GAT1","ABAT","DLG4","SLC1A3","DRD2","MYH11","S100A11","GADD45B","EGLN3","CASP1","APOE","EIF1","B2M","HLA-DMA","C1S","FABP7","BGN","RBPJ","RDH10","GABRA4","UBXN4"
"3","SOX2","DDIT3","ANXA1","SLC1A3","GPR17","SOX4","RND3","KIAA0101","CCNB2","GFAP","CNTNAP2","IL1RAPL1","PCDH15","SLC7A5","FLRT2","LAMA2","RGS6","GFAP","GJB6","ST3GAL5","SOSTDC1","ITGB3","GPR37L1","NOX4","CUX2","CHAT","CD14","IL2RA","BMP7","C5AR1","CD7","ISL2","CNN1","IGF1R","CHAT","SOX10","COL1A1","NRL","GJC1","GRIN1","CAMK2A","PDGFD","DIO2","PDGFRB","ANXA2","IGFBP3","PKM","SQSTM1","GJA1","IFI30","HLA-C","HLA-DPA1","C3","GPM6B","COL1A1","NFIX","PEX13","RIT2","FASTKD2"
"4","SOX9","NDRG1","CD44","HEPN1","FIBIN","TUBB3","HMP19","HIST1H4C","PLK1","NRG3","SYT1","SLC24A2","TNR","CLDN5","ABCA9","PCBP3","MYH11","BYSL","GRIA4","ISOC1","CLIC6","SELE","SLC13A4","THY1","SLC12A5","VSX2","FUT4","FCER2","ZIC1","CX3CR1","TET2","CHAT","CA3","SP8","TH","OLIG2","MYO1B","NR2E3","KCNK3","GAD1","GRM1","GLI3","COL23A1","SEMA3D","CHI3L1","LOX","PYGL","CASP4","SPARCL1","IFT43","HLA-B","HLA-DRB1","CCL2","GRIA2","COL1A2","DLL1","PALS2","SHISA6","DDX47"
"5","EZH2","HERPUD1","VIM","HOPX","LHFPL3","HES6","TUBB3","MLF1IP","CCNA2","ADGRV1","CNTN5","MOBP","CSMD1","ABCB1","ABCA10","DLC1","KCNAB1","ALDH1L1","GRM3","SMOC2","SLC4A10","VCAM1","SLC19A1","CD40","POMC","EN1","FCGR3A","IL17A","ZIC3","P2RY12","CD40","VSX2","MME","GFAP","CALB1","MATN4","COG7","SAG","NEFM","HDAC6","GRM5","NOTCH3","SLC16A2","TBX18","S100A10","MGP","TXN","EMP1","AQP4","IRF1","PSMB8","","CD81","HOPX","COL3A1","SOX2","RDH13","AMER2","TLK2"
"6","BMI1","DNAJB9","MT2A","MT3","OLIG1","TAGLN3","MIAT","GMNN","CKAP2","GPM6A","CSMD1","CTNNA3","OPCML","ST8SIA6","LAMA2","SLC6A12","MYL9","CD40","NTSR2","DYNC1I1","HTR2C","MCAM","SLC23A2","SERPINH1","STIM2","ETV1","CD33","CRH","ALDH1A2","P2RX7","DYSF","EN1","CD109","RBM3","CALB2","C1QL1","P2RY14","RHO","","PRKG1","TBR1","VCAM1","LHX2","WT1","TIMP1","PLAUR","CHPF","DPYD","CST3","IRF8","PSMB9","","CFH","PAX6","DCN","SOX4","SERPING1","LINC00403","LSM1"
"7","KLF4","TRIB3","C1S","SPARCL1","PSAT1","NEU4","DCX","RNASEH2A","KNSTRN","ADCY2","GRIK2","PEX5L","KCNIP4","SLC7A1","FBLN1","ATP1A2","ZFHX3","SLC1A3","ITIH3","NHLH2","AQP1","PROCR","SLC38A3","CD44","RAX","EVX1","FCGR1A","HSD11B1","ALX4","CD40","CMKLR1","EVX1","KRT14","SOX3","ISL1","GPR37L1","HEYL","ROM1","","ATP2B2","POU3F1","HES5","PTN","","ANXA1","SPP1","EGLN3","GPX1","F3","","TAP1","","CLEC2B","PTPRZ1","IGFBP4","KDM5B","TLE1","MMD2","RNF20"
"8","PROM1","ENO2","NAMPT","MLC1","SCRG1","MARCKSL1","NSG1","MELK","RACGAP1","CTNNA2","GALNTL6","KIRREL3","LRRC4C","SLC39A10","LINC01088","RNF152","RCAN2","FGFR3","A2M","CLSTN2","SLC16A2","TEK","TNFRSF19","PDGFRA","CUL5","GAD1","CD80","CD274","IGF2","TREM2","MEFV","EVX2","KRT17","S100B","EPO","GPR17","GNB4","CRX","","PDE5A","EMX1","OLIG2","SLC17A8","","CD44","TNC","PKM","GSN","GLUL","","","","CSF1","SLC1A3","LUM","KDM6B","NELL2","RPH3A","NOL10"
"9","NES","AKAP12","EFEMP1","GFAP","OMG","CD24","ELAVL4","CENPK","CDCA3","FMN2","DLGAP1","NKAIN2","FGF14","ANO2","USP53","SLC38A11","PIP5K1B","GJB6","PTCH1","TMEM163","SLC4A2","FLT4","TNFRSF21","EN1","HIVEP2","ISL1","LILRB4","CXCR2","VTN","TMEM119","HCK","FGF1","EGFR","SLC1A3","CSF3","KCNIP3","MSX1","PDE6G","","ITPR3","FEZF2","GFAP","COL25A1","","CTSB","COL6A2","PYGL","HGF","HTRA1","","","","CTSC","SOX2","MUSTN1","KDM5A","ABCA1","VGF","SEC24B"
"10","SSEA1","SQSTM1","C1R","FABP7","APOD","STMN1","MLLT11","TK1","TROAP","DTNA","KCNQ5","PLP1","LRRTM4","CGNL1","APOD","PTH1R","ACTA2","AQP4","CDC42EP4","CACNA2D2","SLC4A5","APLN","FOXF2","DCN","FUT9","LHX1","CD86","CXCR4","IGFBP2","GPR34","FCGR3B","LHX3","SERPINB5","NEUROD4","NEFH","TMEM100","CTGF","TPBG","","PDE1B","NRGN","EMX2","RAX","","EFEMP1","DCN","TXN","LMNA","ID4","","","","CXCL14","TUBB2B","NDUFA4L2","KDM4A","ZNF516","SLIT1","CAPRIN1"
"11","NOTCH1","MT1X","SOD2","BCAN","SIRT2","TCF12","DLX6-AS1","TMEM106C","KIF2C","RYR3","GRIP1","SLC44A1","KCND2","ANGPT2","NTRK3","TRPC4","C11orf96","HTRA1","BTBD17","CIB2","SLC31A1","VWF","FOXL2","CEBPB","TBR1","LHX5","CD163","CCR3","DCN","TFF3","PADI4","NKX6-1","TP63","NEUROG1","NEFM","VCAN","","GABRA1","","PDE1A","GRIA3","CDH4","PRDX6","","EMP3","DST","","","MLC1","","","","CXCL2","CACYBP","PDGFRB","KDM3B","PROM1","NEUROD4","NRBP1"
"12","NOTCH3","ATF3","IFITM3","PON2","TNR","BEX1","SOX11","CDCA5","AURKA","RNF219-AS1","GRIK1","SHTN1","CA10","BTNL9","ABCA6","COLEC12","FLNA","S100A8","AQP4","NDNF","CLDN2","NOS3","FOXQ1","EGR1","PROX1","LHX3","CCR5","CCR5","LUM","SALL1","GHSR","NGFR","NGFR","NEUROG2","DLG4","CDO1","","PCBP3","","OMP","SPINK8","SPRY1","CRYM","","LGALS1","EFEMP2","","","PRDX6","","","","GBP1","DOK5","ACTA2","JMJD1C","FGFR3","CHRM1","SNW1"
"13","CD15","NAMPT","TIMP1","METTL7B","THY1","OLIG1","NREP","CKS1B","CENPF","TRPM3","FGF14","PTPRD","SNTG1","ABCG2","AC093772.1","SLC30A10","CRISPLD2","CLDN10","SLC4A4","LINGO1","SLC13A4","THBD","LEF1","FOSB","NTRK3","LHX6","TLR2","LTC4S","PDGFRA","CSF3R","ITGAX","SIM1","CDH3","NHLH1","SLC12A5","EPN2","","FRMD3","","PDE9A","PCP4","AXIN2","VCAN","","NNMT","ENO2","","","TSC22D4","","","","GBP2","DSCC1","AEBP1","NOTCH1","COL9A3","DBX2","PRKAR1A"
